"Society","Latitude","Agriculture"
"Shluh",30,"6"
"Shogo",-1,"3"
"Shona",-19,"3"
"Shuswap",51,"1"
"Shuwa",13,"3"
"Sia",36,"6"
"Siamese",15,"6"
"Siane",-6,"4"
"Sidamo",7,"5"
"Simboese",-8,"0"
"Sindhi",25,"6"
"Sinhalese",7,"6"
"Sinkaitk",49,"1"
"Sinkyone",40,"1"
"Sio",-6,"4"
"Siriono",-16,"3"
"Siuai",-6,"4"
"Siuslaw",44,"1"
"Sivokakmeit",63,"1"
"Siwans",29,"6"
"Slave",61,"1"
"Soga",1,"5"
"Somali",8,"5"
"Somba",11,"3"
"Songe",-6,"3"
"Songhai",17,"5"
"Songo",-5,"3"
"Songola",-4,"3"
"Soninke",15,"3"
"Sonjo",-3,"6"
"Soromadja",-2,"4"
"Sotho",-29,"5"
"Southern Pomo",38,"1"
"Southern Ute",38,"2"
"Spaniards",37,"5"
"Spanish Basques",43,"5"
"Squamish",50,"1"
"Stalo",49,"1"
"Star Mountain",-5,"0"
"Subanun",8,"3"
"Sugbuhanon",10,"6"
"Suku",-6,"3"
"Sukuma",-3,"5"
"Sumbanese",-10,"6"
"Sumbawanese",-4,"3"
"Sumbwa",-4,"5"
"Sundi",-5,"3"
"Suri",6,"3"
"Susu",15,"3"
"Svan",43,"5"
"Swazi",-27,"3"
"Syrians",36,"6"
"Tagbanua",10,"3"
"Tagotoka",43,"1"
"Tahitians",-18,"4"
"Tahltan",58,"1"
"Taino",19,"6"
"Takelma",42,"1"
"Tallensi",11,"5"
"Tamil",11,"6"
"Tanaina",62,"1"
"Tanala",-22,"6"
"Tangu",-3,"4"
"Tanimbarese",-8,"3"
"Tannese",-20,"4"
"Taos",37,"5"
"Tapirape",-11,"3"
"Taqagmiut",62,"1"
"Tarahumara",28,"5"
"Tarasco",19,"5"
"Tareumiut",71,"1"
"Tatoga",-5,"3"
"Taulipang",4,"3"
"Taviwatsiu",40,"1"
"Tazarawa",14,"3"
"Teda",21,"6"
"Tehuelche",-46,"1"
"Teita",-4,"5"
"Teke",-3,"3"
"Tekna",28,"6"
"Telugu",18,"6"
"Tem",11,"5"
"Temne",8,"3"
"Tenetehara",-3,"3"
