"Name","glottocode","iso_code","latitude","longitude","ObjectVerbOrder"
"Bislama","bisl1239","bis",-16,168,NA
"Basque (Souletin)","basq1250","eus",43.5,-1.5,NA
"Basque","basq1248","eus",43,-3,"OV"
"Basari","bass1258","bsc",12.6666666667,-13,"OV"
"Bathari","bath1244","bhm",18,56,NA
"Betoi","beto1236",NA,7.16666666667,-71.25,"OV"
"Bontok","cent2083","bnc",17.0833333333,120.916666667,"VO"
"Batak (Toba)","bata1289","bbc",2.5,99,"VO"
"Burarra","bura1267","bvr",-12.25,134.583333333,"OV"
"Bubi","bube1242","bvb",3.5,8.66666666667,"VO"
"Buduma","budu1265","bdm",13.5,14.5,"VO"
"Bugis","bugi1244","bug",-4,120,"VO"
"Buli (in Indonesia)","buli1255","bzq",1,128.5,NA
"Bujeba","kwas1243","nmg",3,10.1666666667,NA
"Bukusu","buku1249","bxk",0.75,34.6666666667,NA
"Bulgarian","bulg1262","bul",42.5,25,"VO"
"Buma","tean1237","tkw",-11.6333333333,166.833333333,"VO"
"Buin","tere1278","buo",-6.75,155.75,"OV"
"Burushaski","buru1296","bsk",36.5,74.5,"OV"
"Busa","busa1253","bqp",9.66666666667,4,"OV"
"Buriat","mong1330","bxm",52,108,"OV"
"Buru","buru1303","mhs",-3.5,126.5,"VO"
"Bulu","bulu1251","bum",3,11,NA
"Buli (in Ghana)","buli1254","bwu",10.5,-1.25,"VO"
"Bali-Vitu","bali1280","wiv",-4.9,149.116666667,"VO"
"Bandjalang (Waalubal)","band1339","bdy",-29.0833333333,152.583333333,NA
"Bajau (West Coast)","west2560","bdr",6.33333333333,116.333333333,"VO"
"Bayungu","bayu1240","bxj",-23,114,NA
"Byansi","byan1241","bee",30.1666666667,80.5,"OV"
"Bayso","bais1246","bsw",6.25,37.75,NA
"Bandjalang (Yugumbir)","band1339","bdy",-27.9166666667,153,NA
"Bauzi","bauz1241","bvz",-2.5,137.5,"OV"
"Cabécar","cabe1245","cjp",9.75,-83.4166666667,NA
"Cacua","cacu1241","cbv",1.08333333333,-70,NA
"Caddo","cadd1256","cad",33.3333333333,-93.5,NA
"Cahuilla","cahu1264","chl",33.5,-116.25,"OV"
"Chai","suri1267","suq",5.33333333333,35.3333333333,"No dominant order"
"Cakchiquel","kaqc1274","ckf",14.5,-91,"VO"
"Camsá","cams1241","kbh",1.16666666667,-77,"No dominant order"
"Candoshi","cand1248","cbu",-4.16666666667,-77,"OV"
"Capanahua","capa1241","kaq",-7,-74,NA
"Carib","gali1262","car",5.5,-56,"OV"
"Cashibo","cash1251","cbr",-8.5,-75.5,"OV"
"Catio","embe1260","cto",7.16666666667,-76.3333333333,NA
"Cavineña","cavi1250","cav",-13.3333333333,-66.5,"No dominant order"
"Campa (Axininca)","asha1243","cni",-12,-74,"VO"
"Cayapa","chac1249","cbi",0.666666666667,-79,"OV"
"Chumash (Barbareño)","barb1263","boi",34.5,-120.25,"VO"
"Chácobo","chac1251","cao",-12.1666666667,-66.75,"OV"
"Chocho","choc1279","coz",17.6666666667,-97.4166666667,NA
"Chickasaw","chic1270","cic",34,-88,NA
"Chinantec (Comaltepec)","coma1246","cco",17.5833333333,-96.4166666667,"VO"
"Chasta Costa","tutu1242",NA,42.6666666667,-124,NA
"Cocopa","coco1261","coc",32.3333333333,-115,NA
"Choctaw","choc1276","cho",32.25,-88.5,"OV"
"Carib (De'kwana)","maqu1238","mch",5.5,-65,"OV"
"Cree (Swampy)","swam1239","csw",56,-90,"VO"
"Cebuano","cebu1242","ceb",10,124,"VO"
"Chicomuceltec","chic1271","cob",15.5,-92.25,NA
"Cèmuhî","cemu1238","cam",-20.8333333333,165.166666667,"VO"
"Chaga","moch1256","old",-3,37,"VO"
"Chamorro","cham1312","cha",13.45,144.75,"VO"
"Chambri","cham1313","can",-4.16666666667,143.083333333,"OV"
"Chechen","chec1245","che",43.25,45.8333333333,"OV"
"Chaudangsi","chau1259","cdn",30,80.25,"OV"
"Cherokee","cher1273","chr",35.5,-83.5,"OV"
"Chang","chan1313","nbc",26.3333333333,94.75,"OV"
"Chaha","seba1251","sgw",8.112935,37.93267,"OV"
"Chimariko","chim1301","cid",41,-123,"OV"
"Chuj","chuj1249","cac",15.9166666667,-91.5833333333,"VO"
"Chukchi","chuk1273","ckt",67,-173,"OV"
"Chehalis (Upper)","uppe1439","cjh",46.5833333333,-123,NA
"Chamalal","cham1309","cji",42.55,46.05,NA
"Chantyal","chan1310","chx",28.5833333333,83.4166666667,"OV"
"Chontal (Highland)","high1242","chd",16.25,-95.75,NA
"Chipewyan","chip1261","chp",59,-106,"OV"
"Chinantec (Quiotepec)","quio1240","chq",17.5833333333,-96.6666666667,"VO"
"Chrau","chra1242","crw",10.75,107.5,"VO"
"Chin (Siyin)","siyi1240","csy",23.8333333333,94,"OV"
"Chatino (Nopala)","nopa1235","cya",16.0833333333,-97.1666666667,NA
"Chulupí","niva1238","cag",-23.5,-60.5,NA
"Chuvash","chuv1255","chv",55.5,47.5,"OV"
"Cham (Western)","west2650","cja",12,105.5,"VO"
"Chontal (Huamelultec Oaxaca)","lowl1260","clo",16,-95.75,"VO"
"Chayahuita","chay1248","cbt",-5.5,-77,NA
"Chaozhou","minn1241","nan",23.6666666667,116.666666667,NA
"Chichewa","nyan1308","nya",-14,34,"VO"
"CiLuba","luba1249","lua",-6,22,NA
"Chumash (Ineseño)","ines1240","inz",34.6666666667,-120.25,NA
"Chichimeca-Jonaz","chic1272","pei",21.6666666667,-100.5,NA
