glottocode,name,macroarea,latitude,longitude,Language_family,precipitation,tones
nort2775,"Northwest Gbaya",Africa,5.9503,15.2569,Atlantic-Congo,115.3066667,4
ntch1242,Ntcham,Africa,9.23971,0.599275,Atlantic-Congo,102.548,3
nucl1417,"Nuclear Igbo",Africa,4.62705,7.23441,Atlantic-Congo,166.7195,3
nucl1347,"Nuclear Wolof",Africa,15.2534,-15.383,Atlantic-Congo,57.04483333,0
nupe1254,Nupe-Nupe-Tako,Africa,9.18404,5.40031,Atlantic-Congo,101.2986667,5
nyam1276,Nyamwezi,Africa,-5.08559,32.9445,Atlantic-Congo,68.44083333,3
nyan1307,Nyankole,Africa,-0.46364,30.548,Atlantic-Congo,91.8985,0
orok1266,Oroko,Africa,4.89504,9.15209,Atlantic-Congo,93.93233333,0
pula1263,Pulaar,Africa,13.8694,-13.4482,Atlantic-Congo,54.87616667,0
pula1262,Pular,Africa,12.1826,-12.7338,Atlantic-Congo,169.161,0
rund1242,Rundi,Africa,-1.44174,31.3191,Atlantic-Congo,88.90933333,2
samb1305,"Samba Leko",Africa,8.19236,11.7366,Atlantic-Congo,109.1283333,3
sere1260,Serer,Africa,13.8941,-16.3916,Atlantic-Congo,65.26766667,0
sher1258,Sherbro,Africa,7.77585,-12.7405,Atlantic-Congo,292.2996667,0
shon1251,Shona,Africa,-17.2085,29.7572,Atlantic-Congo,65.95933333,0
siwu1238,Siwu,Africa,7.23811,0.44362,Atlantic-Congo,105.9046667,3
sout2790,"Southern Birifor",Africa,9.2873,-2.72672,Atlantic-Congo,103.635,0
sout2789,"Southern Dagaare",Africa,10.4226,-2.52265,Atlantic-Congo,84.57216667,3
sout2795,"Southern Nuni",Africa,11.5186,-2.14385,Atlantic-Congo,73.573,4
suku1261,Sukuma,Africa,-3.16082,32.8765,Atlantic-Congo,53.92733333,5
sumb1240,Sumbwa,Africa,-3.47335,31.9457,Atlantic-Congo,79.9945,2
taro1263,Tarok,Africa,8.98356,10.0288,Atlantic-Congo,94.284,3
temm1241,Tem,Africa,6.90552,1.13177,Atlantic-Congo,76.15566667,2
tigo1236,"Tigon Mbembe",Africa,6.98399,10.7085,Atlantic-Congo,6.399166667,5
timn1235,Timne,Africa,8.90294,-12.3331,Atlantic-Congo,278.8353333,4
tivv1240,Tiv,Africa,6.88039,9.26287,Atlantic-Congo,142.5068333,3
tong1318,"Tonga (Zambia)",Africa,-17.4223,27.1035,Atlantic-Congo,59.25866667,3
tune1261,Tunen,Africa,,,Atlantic-Congo,154.4213333,2
tupu1244,Tupuri,Africa,10.0144,14.8697,Atlantic-Congo,70.67516667,4
umbu1257,Umbundu,Africa,-12.4763,14.4148,Atlantic-Congo,105.8943333,0
vagl1239,Vagla,Africa,9.33848,-2.31333,Atlantic-Congo,101.8016667,0
vute1244,Vute,Africa,6.13603,11.8839,Atlantic-Congo,138.73,5
west2458,"West Central Banda",Africa,6.81435,24.1012,Atlantic-Congo,116.7793333,5
west2454,"Western Niger Fulfulde",Africa,14.2471,-0.52004,Atlantic-Congo,37.27283333,0
yans1239,Yansi,Africa,-3.8231,18.2341,Atlantic-Congo,134.9326667,3
yaoo1241,Yao,Africa,-13.6119,35.2387,Atlantic-Congo,85.85216667,4
yekh1238,Yekhee,Africa,7.10204,6.44919,Atlantic-Congo,127.1705,3
zand1248,Zande,Africa,4.62047,26.7157,Atlantic-Congo,121.8663333,3
zinz1238,Zinza,Africa,-2.64132,32.1755,Atlantic-Congo,82.16883333,0
zulu1248,Zulu,Africa,-25.3305,31.3512,Atlantic-Congo,88.09516667,3
hooo1248,Ho,Eurasia,23.9596,87.1188,Austroasiatic,104.412,0
khas1269,Khasi,Eurasia,24.977,91.9998,Austroasiatic,192.4656667,0
mund1320,Mundari,Eurasia,25.0391,87.1792,Austroasiatic,104.412,0
sant1410,Santali,Eurasia,25.0317,87.8185,Austroasiatic,117.6533333,0
viet1252,Vietnamese,Eurasia,18.3887,106.757,Austroasiatic,149.481,6
adze1240,Adzera,Papunesia,-6.39394,146.294,Austronesian,170.1133333,0
akla1241,Aklanon,Papunesia,11.5543,122.354,Austronesian,165.2023333,0
ambo1250,"Ambonese Malay",Papunesia,-3.71342,128.184,Austronesian,245.8221667,0
atay1247,Atayal,Papunesia,24.5209,121.388,Austronesian,171.469,0
bali1278,Balinese,Papunesia,-8.35714,115.075,Austronesian,192.3895,0
bata1289,"Batak Toba",Papunesia,2.35498,99.1761,Austronesian,198.1896667,0
cebu1242,Cebuano,Papunesia,8.38799,124.367,Austronesian,146.1573333,0
cham1312,Chamorro,Papunesia,14.3307,145.276,Austronesian,547.9481667,0
dobu1241,Dobu,Papunesia,-9.63239,150.825,Austronesian,285.1036667,0
east2563,"Eastern Cham",Eurasia,11.2853,108.49,Austronesian,155.986,0
hawa1245,Hawaiian,Papunesia,19.6297,-155.43,Austronesian,145.3201667,0
java1254,Javanese,Papunesia,-0.572307,110.885,Austronesian,220.2373333,0
kamb1299,Kambera,Papunesia,-9.88447,120.235,Austronesian,110.5881667,0
maka1311,Makasar,Papunesia,-5.65551,119.838,Austronesian,218.5181667,0
mana1295,Manam,Papunesia,-4.07921,145.033,Austronesian,265.529,0
maor1246,Maori,Papunesia,-38.2881,176.541,Austronesian,152.9673333,0
mina1268,Minangkabau,Papunesia,4.17,96.25,Austronesian,289.022,0
moke1242,Moken,Eurasia,10.1474,98.6765,Austronesian,221.913,0
nort2845,"North Marquesan",Papunesia,-8.89412,-140.108,Austronesian,108.6138333,0
pala1344,Palauan,Papunesia,7.17,134.5,Austronesian,275.1273333,0
sela1259,Selaru,Papunesia,-8.18376,130.961,Austronesian,167.9226667,0
sout2918,"Southern Sama",Papunesia,5.07546,119.38,Austronesian,163.3816667,0
tetu1245,Tetum,Papunesia,-9.11217,125.528,Austronesian,134.4793333,0
tinp1237,Tinputz,Papunesia,-5.58358,154.972,Austronesian,277.0378333,0
tong1325,"Tonga (Tonga Islands)",Papunesia,-21.17,-175.25,Austronesian,141.4683333,0
woge1237,Wogeo,Papunesia,-3.20238,144.089,Austronesian,240.9926667,0
yape1248,Yapese,Papunesia,9.55811,138.125,Austronesian,295.3126667,0
cent2142,"Central Aymara","South America",-17.0,-68.5,Aymara,63.0205,0
chac1249,Chachi,"South America",0.71489,-79.0508,Barbacoan,203.2081667,0
boro1282,Bororo,"South America",-16.6029,-55.2004,Bororoan,112.603,0
umot1240,"Umotína","South America",-15.5929,-57.4192,Bororoan,122.1135,0
buru1296,Burushaski,Eurasia,36.2161,74.8236,Burushaski,13.02666667,3
wich1260,Wichita,"North America",35.0665,-98.1831,Caddoan,54.51633333,0
