"Name","glottocode","iso_code","latitude","longitude","BasicWordOrder","AdpositionOrder"
"Khalkha","halh1238","khk",47,105,"SOV","Postpositions"
"Kham (Dege)","kham1282","khg",31.8333333333,98.5833333333,"SOV","Postpositions"
"Khalaj","turk1303","klj",35,50,"SOV","Postpositions"
"Khmer","cent1989","khm",12.5,105,"SVO","Prepositions"
"Khoekhoe","nama1264","naq",-25.5,18,"SOV","Postpositions"
"Kharia","khar1287","khr",22.5,84.3333333333,"No dominant order","Postpositions"
"Khasi","khas1269","kha",25.5,92,"SVO","Prepositions"
"Khowar","khow1242","khw",36,72,"SOV","Postpositions"
"Kire","kire1240","geb",-4.25,144.75,"SOV","Postpositions"
"Kikuyu","kiku1240","kik",-0.75,36.75,"SVO","Prepositions"
"Kiluba","luba1250","lub",-8,26,"SVO","Prepositions"
